date,app_booking hour,Surge factor
20240216,09:01:00,1.382952848
20240216,10:00:00,1.562348688
20240216,11:00:00,1.462402265
20240216,12:00:00,1.537894095
20240216,13:00:00,1.454661287
20240216,14:00:00,1.489584355
20240216,15:22:00,1.457711921
20240216,16:00:00,1.430189748
20240216,17:00:00,1.334157978
20240216,18:00:00,1.288803066
20240216,19:00:00,1.356027308
20240216,20:00:00,1.407344374
20240216,21:00:00,1.398791336
20240216,22:00:00,1.460251634
20240216,23:01:00,1.431412943
20240217,00:00:00,1.47415952
20240217,06:00:00,1.490047815
20240217,07:00:00,1.446168239
20240217,08:00:00,1.469791908
20240217,09:00:00,1.46870528
20240217,10:00:00,1.482220744
20240217,11:00:00,1.500694597
20240217,12:00:00,1.52118865
20240217,13:00:00,1.552739283
20240217,14:00:00,1.488116608
20240217,15:00:00,1.522303091
20240217,16:00:00,1.48344462
20240217,17:00:00,1.490227447
20240217,18:00:00,1.489084616
20240217,19:00:00,1.442477252
20240217,20:00:00,1.456346566
20240217,21:00:00,1.444849929
20240217,22:00:00,1.465331049
20240217,23:00:00,1.515779167
20240218,00:00:00,1.508603756
20240218,06:00:00,1.447709594
20240218,07:00:00,1.440171285
20240218,08:00:00,1.490705721
20240218,09:00:00,1.465114437
20240218,10:00:00,1.479056559
20240218,11:00:00,1.463990098
20240218,12:00:00,1.665119517
20240218,13:00:00,1.658703861
20240218,14:00:00,1.496854857
20240218,15:00:00,1.517271857
20240218,16:00:00,1.497017014
20240218,17:00:00,1.51374097
20240218,18:00:00,1.549911485
20240218,19:00:00,1.484127569
20240218,20:00:00,1.530040825
20240218,21:04:00,1.460878804
20240218,22:00:00,1.470698582
20240218,23:00:00,1.489255946
20240219,00:00:00,1.4571949
20240219,06:29:00,1.451297348
20240219,07:00:00,1.444174374
20240219,08:00:00,1.482448602
20240219,09:00:00,1.379057847
20240219,10:00:00,1.458240515
20240219,11:00:00,1.451297348
20240219,12:00:00,1.270688395
20240219,13:00:00,1.481953928
20240219,14:00:00,1.430424443
20240219,15:00:00,1.448314371
20240219,16:24:00,1.467950533
20240219,17:00:00,1.432843259
20240219,18:00:00,1.327277017
20240219,19:00:00,1.429747617
20240219,20:00:00,1.449178353
20240219,21:00:00,1.433430515
20240219,22:00:00,1.471942888
20240219,23:00:00,1.465791722
20240220,00:00:00,1.464975749
20240220,06:00:00,1.489121896
20240220,07:00:00,1.475893221
20240220,09:00:00,1.363827109
20240220,10:00:00,1.482278126
20240220,11:00:00,1.524905191
20240220,12:00:00,1.46712289
20240220,13:00:00,1.464827677
20240220,14:00:00,1.456526954
20240220,15:00:00,1.499396982
20240220,16:00:00,1.496199365
20240220,17:00:00,1.386180203
20240220,18:00:00,1.370399374
20240220,19:00:00,1.435918089
20240220,20:00:00,1.435625756
20240220,21:39:00,1.42474868
20240220,22:00:00,1.420558024
20240220,23:00:00,1.419993202
20240221,00:00:00,1.455215015
20240214,06:00:00,1.271269956
20240214,07:00:00,1.259789934
20240214,08:00:00,1.281229981
20240214,09:07:00,1.199699352
20240214,10:00:00,1.295923503
20240214,11:00:00,1.324483054
20240214,12:00:00,1.433627257
20240214,13:00:00,1.535327739
20240214,14:13:00,1.517500447
20240214,15:00:00,1.436666476
20240214,16:00:00,1.547907299
20240214,17:00:00,1.518397515
20240214,18:00:00,1.50296359
20240214,19:00:00,1.538793802
20240214,20:00:00,1.533597305
20240214,21:21:00,1.304404398
20240214,22:01:00,1.285122362
20240214,23:00:00,1.356899311
20240215,00:00:00,1.380578185
20240215,06:01:00,1.293301028
20240215,07:00:00,1.288513641
20240215,08:00:00,1.296953383
20240215,09:00:00,1.286277552
20240215,10:00:00,1.326183289
20240215,11:00:00,1.356007913
20240215,12:00:00,1.355792933
20240215,13:00:00,1.350417687
20240215,14:00:00,1.348371243
20240215,15:00:00,1.351521643
20240215,16:00:00,1.365218985
20240215,17:00:00,1.501093316
20240215,18:00:00,1.517092773
20240215,19:00:00,1.406070847
20240215,20:00:00,1.320668792
20240215,21:00:00,1.306397747
20240215,22:00:00,1.311276982
20240215,23:00:00,1.349940853
20240216,00:00:00,1.345513774
20240216,06:00:00,1.328088225
20240216,07:00:00,1.296785692
20240216,08:00:00,1.33902768
20240216,09:00:00,1.316549997
20240216,10:00:00,1.337987202
20240216,11:00:00,1.390703752
20240216,12:00:00,1.351020158
20240216,13:00:00,1.3388164
20240216,14:00:00,1.443594051
20240216,15:00:00,1.457365277
20240216,16:00:00,1.57096737
20240216,17:00:00,1.607152962
20240216,18:00:00,1.591270743
20240216,19:00:00,1.590689204
20240216,20:00:00,1.324101844
20240216,21:00:00,1.312132377
20240216,22:00:00,1.353592993
20240216,23:13:00,1.390932661
20240217,00:00:00,1.402206041
20240217,06:00:00,1.284887125
20240217,07:00:00,1.400042641
20240217,08:00:00,1.381253914
20240217,09:00:00,1.393906346
20240217,10:00:00,1.445728086
20240217,11:00:00,1.389527626
20240217,12:00:00,1.37756085
20240217,13:07:00,1.370424044
20240217,14:01:00,1.428049449
20240217,15:00:00,1.610742342
20240217,16:01:00,1.625591543
20240217,17:00:00,1.613098481
20240217,18:01:00,1.651525179
20240217,19:02:00,1.657940663
20240217,20:02:00,1.311752551
20240217,21:04:00,1.355954846
20240217,22:01:00,1.380843325
20240217,23:02:00,1.401443487
20240218,00:00:00,1.427438541
20240218,06:00:00,1.433059759
20240218,07:00:00,1.397939878
20240218,08:00:00,1.397939878
20240218,09:00:00,1.356417422
20240218,10:13:00,1.31764555
20240218,11:01:00,1.351961797
20240218,12:06:00,1.390248678
20240218,13:00:00,1.35254152
20240218,14:00:00,1.402289978
20240218,15:00:00,1.412501598
20240218,16:01:00,1.446631044
20240218,17:09:00,1.428934333
20240218,18:00:00,1.408450704
20240218,19:00:00,1.352451318
20240218,20:04:00,1.350275363
20240218,21:00:00,1.354004468
20240218,22:00:00,1.359825506
20240218,23:00:00,1.394436269
20240219,00:00:00,1.362903791
20240219,06:01:00,1.319217153
20240219,07:01:00,1.299858644
20240219,08:02:00,1.274491155
20240219,09:02:00,1.318596083
20240219,10:01:00,1.358784624
20240219,11:09:00,1.3578538
20240219,12:00:00,1.246152918
20240219,13:00:00,1.346691822
20240219,14:00:00,1.293181956
20240219,15:00:00,1.352817306
20240219,16:04:00,1.347147035
20240219,17:02:00,1.306499306
20240219,18:00:00,1.292877526
20240219,19:00:00,1.342070443
20240219,20:00:00,1.321600422
